MOLECULE_NAME,SMILES,LogP
1,C=O,"0,35"
2,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,"1,92"
3,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,"2,19"
4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C,"2,10"
5,CCC1(C2C=CC=CC=2)C(=O)NC(=O)NC1=O,"1,47"
6,CC1C(=O)C2=C(C(COC(N)=O)C3(OC)C4NC4CN32)C(=O)C=1N,"-0,40"
7,CN1C(=O)NC(=O)C(CC)(CC)C1=O,"1,15"
8,CCC1(NC(=O)N(C)C1=O)C1C=CC=CC=1,"1,69"
9,O=P1(NCCCO1)N(CCCl)CCCl,"0,63"
10,CC(O)C(O)=O,"-0,72"
11,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(CCC21)C(=O)CO,"1,94"
12,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,"1,61"
13,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,"1,62"
14,CC12CCC3C(CCC4C=C(O)C=CC=43)C1CC(O)C2O,"2,45"
15,CC12CCC3C(CCC4=CC(O)=CC=C43)C1CCC2O,"3,91"
16,ClC(Cl)(Cl)C(C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1,"6,91"
17,OC(=O)C1C(Cl)=CC=CC=1Cl,"2,23"
18,C1C2=CC=C3C=CC=C4C=CC(C2=C34)=C2C=CC=CC2=1,"6,13"
19,CCCCC1C(=O)N(C2C=CC=CC=2)N(C2C=CC=CC=2)C1=O,"3,16"
20,O=C1CCC(C(=O)N1)N1C(=O)C2=CC=CC=C2C1=O,"0,33"
21,COC(=O)C1C2CCC(CC1OC(=O)C1C=CC=CC=1)N2C,"2,30"
22,CN1CC(C=C2C1CC1=CNC3=CC=CC2=C13)C(=O)N(CC)CC,"2,95"
23,S=C1NC=NC2NC=NC=21,"0,01"
24,CNCCCN1C2C=CC=CC=2CCC2C=CC=CC1=2,"4,90"
25,CN(C)CC/C=C1/C2=CC=CC=C2CCC2C=CC=CC=2/1,"4,92"
26,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,"4,80"
27,CN1CCCCC1CCN1C2=CC=CC=C2SC2C=CC(=CC1=2)SC,"5,90"
28,CN(C)CCCN1C2C=CC=CC=2SC2C=CC(Cl)=CC1=2,"5,41"
29,[O-]C(=O)C1=C(CSC2C(NC(=O)CC3=CC=CS3)C(=O)N12)C[N+]1C=CC=CC=1,"-1,62"
30,NCCC1=CNC2=CC=C(O)C=C21,"0,21"
31,OC(CO)C(O)C(O)C(O)CO,"-2,38"
32,O=C1NC(=O)C(=O)C(=O)N1,"-1,84"
33,CC(=O)OC1C=CC=CC=1C(O)=O,"1,19"
34,OC(=O)C1=CC(Cl)=CC=C1Cl,"2,82"
35,OCC(O)C1OC(=O)C(=O)C1O,"-1,85"
36,CC1=CC(O)=C(C=C1)C(O)=O,"2,99"
37,CC(=O)NC1C=CC(=C(O)C=1)C(O)=O,"1,62"
38,CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,"-0,93"
39,OC1CC(OC1CO)N1C=C(F)C(=O)NC1=O,"-1,16"
40,CC(NC)C(O)C1C=CC=CC=1,"-2,45"
41,OCC(O)C(O)C(O)C(O)C=O,"-2,83"
